,fen,lik
141,5k2/p7/2p1B2p/2K3P1/1P2PPP1/8/8/8 b - - 2 43,0.0
142,6k1/7p/2p3p1/2KB2P1/4PP1P/7r/8/8 b - - 2 43,0.0
143,6k1/7p/2p3p1/2K1B3/1P2PP1P/8/8/8 b - - 2 43,0.0
144,6k1/7p/2p3p1/2K1B1P1/1P3PP1/7r/8/8 b - - 2 43,0.0001780729650161068
145,6k1/p6p/2p3p1/2K1B1P1/4PP1P/7r/8/8 b - - 2 43,2.2751171926962744e-07
146,5k2/p6p/2p3p1/2K3P1/P3P2P/7r/8/8 b - - 2 43,0.08229213347859832
147,6k1/p6p/2p5/2K1B1PP/1P2P3/5P2/8/8 b - - 2 43,0.0
148,6k1/7p/p1p3p1/2K1BPP1/1P2P2P/6r1/8/8 b - - 2 43,0.0
149,6k1/p6p/2p2p2/4B3/1PK1PP1P/7r/8/8 b - - 2 43,7.858269510018871e-08
150,5k2/p7/2p5/4B3/1PK1PP2/7r/8/8 b - - 2 43,2.5757177484202442e-05
151,6k1/p7/2p3pp/2K2B2/4PP1P/7r/8/8 b - - 2 43,0.19828128365383546
152,7k/p6p/6p1/2p3P1/1PK1PP1P/7r/8/8 b - - 2 43,2.881727062867848e-07
153,6k1/7p/2p3p1/2K5/1P2BPPP/7r/8/8 b - - 2 43,0.12145167766398396
154,6k1/p5p1/2p3p1/2K2B1P/1P2PP1P/7r/8/8 b - - 2 43,0.002635279143677422
155,6k1/p6p/2p3p1/2K3P1/1P2P1P1/8/7r/8 b - - 2 43,0.0
156,6k1/p6p/2p3p1/2K1B3/1P2PP1P/8/8/8 b - - 2 43,0.0
157,6k1/7p/6p1/2K3P1/4PP1P/1P5r/8/8 b - - 2 43,0.15154831430721233
158,8/6k1/6p1/1PK3P1/4PP2/7r/8/8 b - - 2 43,0.09648451223092223
159,6k1/8/2p3pp/4B1P1/1PK4P/7r/8/8 b - - 2 43,3.237288408686555e-07
160,6k1/p6p/2p3p1/2K1B1PP/1P1P1P2/7r/8/8 b - - 2 43,0.11544889581043286
161,5k2/p6p/6p1/2K1B2P/4P1PP/7r/8/8 b - - 2 43,2.15291129863804e-07
162,6k1/p6p/6p1/2K1B1P1/1P2PP1P/8/8/8 b - - 2 43,0.0
163,6k1/p6p/6p1/1PK1B1P1/4PP1P/7r/8/8 b - - 2 43,5.062344593751573e-05
164,6k1/p6p/2p5/2K1B1P1/4PP2/7r/8/8 b - - 2 43,9.560059924423096e-07
165,7k/8/2p3p1/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,0.0
166,6k1/p7/2p3p1/2K4P/1P2PP1P/7r/8/8 b - - 2 43,0.0861675550025193
167,6k1/p7/2p3p1/4B3/1PKP1P1P/7r/8/8 b - - 2 43,7.883230958057748e-06
168,6k1/8/2p4p/2K1BPP1/1P1P4/7P/8/8 b - - 2 43,0.0
169,6k1/p7/6p1/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,0.00019273090056917637
170,6k1/p6p/2p3p1/2K1B1P1/1P2P2P/8/8/8 b - - 2 43,0.0
171,5k2/p6p/2p5/2K3P1/P3PP1P/7r/8/8 b - - 2 43,0.05902933239859954
172,6k1/8/6p1/2K2BP1/1P5P/8/8/8 b - - 2 43,0.0
173,6k1/p6p/2p5/2K1B3/1P3PPP/7r/8/8 b - - 2 43,1.5598289108514098e-05
174,6k1/7p/p1p3p1/4B1P1/2K1PP1P/1P5r/8/8 b - - 2 43,9.381268798670513e-07
175,6k1/1p5p/2p5/2K1B1PP/1P3P2/7r/8/8 b - - 2 43,2.545731366454518e-05
176,6k1/p6p/2p3p1/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,1.1044173956150259e-05
177,6k1/p6p/2p3p1/2K1B1P1/1P2P2P/7r/8/8 b - - 2 43,3.594655860959775e-07
178,6k1/p6p/2p3p1/4BP1P/2K1PP2/8/8/8 b - - 2 43,0.0
179,6k1/p6p/2p5/2K5/1P2PP1P/8/8/8 b - - 2 43,0.0
180,6k1/1p5p/8/2K1B3/1P2PP1P/7r/8/8 b - - 2 43,3.6157163265634925e-05
181,6k1/p6p/6p1/2K2BP1/1P2PP1P/6r1/8/8 b - - 2 43,0.0
182,6k1/7p/p1p3p1/2K1B3/4PP1P/7r/8/8 b - - 2 43,7.907478365320283e-08
183,6k1/p6p/2p3p1/2K1B1P1/7P/7r/8/8 b - - 2 43,2.983007256354833e-07
184,6k1/p6p/2p3p1/2K1B1P1/1P2P3/7r/8/8 b - - 2 43,2.8734016133651976e-07
185,6k1/p6p/2p3p1/2K1B2P/1P2PP1P/7r/8/8 b - - 2 43,9.653057352893877e-06
186,6k1/p6p/2p5/2K5/4PP1P/7r/8/8 b - - 2 43,0.07355995746318522
187,6k1/p6p/2p2p2/2K1B2P/P3PP2/7r/8/8 b - - 2 43,7.868074034662778e-08
188,6k1/7p/2p5/2K1B1P1/2P2P2/6r1/8/8 b - - 2 43,0.0
189,6k1/p6p/2p3p1/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,1.1044173956150259e-05
190,6k1/p6p/6p1/2K3P1/1P2PPP1/7r/8/8 b - - 2 43,0.08018656223751876
191,6k1/p6p/2p3p1/2K1B1P1/1P2PP1P/8/7r/8 b - - 2 43,0.0
192,6k1/7p/8/2K1B3/1P2PP2/6r1/8/8 b - - 2 43,0.0
193,6k1/p6p/2p5/2K2B2/5P1P/4P2r/8/8 b - - 2 43,0.0
194,7k/p6p/2p3p1/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,0.0
195,6k1/p6p/2p5/2K1B1P1/1P2P3/7r/8/8 b - - 2 43,9.06171488791034e-07
196,6k1/p6p/2p5/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,0.00019501049467736175
197,6k1/2p5/p7/2KB2P1/1P2PP1P/8/8/8 b - - 2 43,0.0
198,6k1/p5p1/3p2p1/1K2B1P1/1P2PP2/7r/8/8 b - - 2 43,7.07217842731454e-08
199,8/p5kp/6p1/2K1B1P1/1P2PP2/7r/8/8 b - - 2 43,0.0
200,6k1/p6p/2p5/2K1B1P1/1P2PP2/7r/8/8 b - - 2 43,7.69137475410274e-05
201,8/1pp3kp/6p1/2K3P1/2P1PP1P/8/8/8 b - - 2 43,0.0
202,6k1/p6p/6p1/1K2B3/4P2r/1P6/8/8 b - - 2 43,0.0
203,5k2/p6p/2p3p1/2K1B1P1/1P2P1PP/7r/8/8 b - - 2 43,1.663887987783051e-06
204,6k1/p7/2p3p1/2K5/1P2PP1P/7r/8/8 b - - 2 43,0.051232149050212006
205,6k1/7p/2p1B1p1/8/1PK2PP1/8/8/8 b - - 2 43,0.0
206,6k1/p5p1/6p1/3KB1P1/2P1P2P/7r/8/8 b - - 2 43,1.8067564326840827e-05
207,6k1/p6p/2p5/1PK1B1P1/4P2P/7r/8/8 b - - 2 43,1.0408482919310567e-06
208,8/6kp/6p1/2K5/4PP2/1P5r/8/8 b - - 2 43,0.05854741544714703
209,6k1/7p/2p3p1/2K1B1P1/4P1PP/7r/8/8 b - - 2 43,3.901534486696634e-07
210,6k1/1p5p/2p3p1/2K3P1/1P3P1P/7r/8/8 b - - 2 43,0.0767761393339625
211,5k2/p6p/6p1/2K1B1P1/1P3P1P/8/8/8 b - - 2 43,0.0
212,6k1/p6p/8/2K1B1P1/1P2PP1P/8/8/8 b - - 2 43,0.0
213,8/p5kp/2p3p1/2K5/1P3P2/7P/8/8 b - - 2 43,0.0
214,6k1/p6p/8/2K1B1p1/1P2PPP1/7r/8/8 b - - 2 43,1.0587811376621972e-05
215,5k2/7p/p1p2p2/2K1B3/1P2P2P/8/8/8 b - - 2 43,0.0
216,6k1/p6p/7p/2K1B1P1/1P2PP1P/8/8/8 b - - 2 43,0.0
217,6k1/p5pp/2p5/2K2BP1/1P6/5PrP/8/8 b - - 2 43,0.0
218,6k1/1p5p/6p1/2K1B3/1P2PP1P/7r/8/8 b - - 2 43,3.5995756857010362e-06
219,6k1/p6p/2p3p1/1P2B3/2K2P2/7r/8/8 b - - 2 43,0.0007631682548564602
220,6k1/8/2p3p1/2K1B1PP/1P2P3/7r/8/8 b - - 2 43,0.00011067873765875661
221,6k1/p6p/8/2K1B1P1/1P2P2P/5P1r/8/8 b - - 2 43,0.0
222,6k1/7p/2p5/1PK1B1P1/5P2/4P2r/8/8 b - - 2 43,0.0
223,6k1/7p/p5p1/1P4P1/2K2P2/7r/8/8 b - - 2 43,0.09018740670203795
224,6k1/p6p/2p4p/2K5/1P2P3/7r/8/8 b - - 2 43,0.08584449429693732
225,6k1/p6p/2p3p1/2K1B1P1/1P3P1P/7r/8/8 b - - 2 43,5.329271113242839e-07
226,6k1/p6p/2p3p1/1PK1B1P1/5P1P/7r/8/8 b - - 2 43,1.2336535801401227e-06
227,6k1/p6p/8/2K3P1/5P1r/8/8/8 b - - 2 43,0.0
228,6k1/1p5p/6p1/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,2.2525329149992596e-05
229,8/p5kp/2p3p1/2K1B1P1/1P2PP2/7r/8/8 b - - 2 43,0.0
230,6k1/p6p/2p5/2K2BP1/1P2PP1P/7r/8/8 b - - 2 43,0.008651763096247959
231,6k1/7p/2p5/2K3P1/1P2P2P/5P1r/8/8 b - - 2 43,0.0
232,6k1/8/2p1B1p1/2K3P1/1P2PP2/8/8/8 b - - 2 43,0.0
233,5k2/p6p/2p3p1/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,8.614733808222485e-06
234,6k1/p5pp/2p5/2K1B3/1P3PP1/6r1/8/8 b - - 2 43,0.0
235,6k1/p7/2p2p1p/2K2BP1/1P2PP2/8/8/8 b - - 2 43,0.0
236,5k2/p6p/2p3p1/2K1BPPP/1P2P3/7r/8/8 b - - 2 43,1.137559042150533e-05
237,6k1/p6p/2p3p1/2K1B2P/1P2PP1P/8/8/8 b - - 2 43,0.0
238,6k1/p6p/2p3p1/2K1B3/1P2PP1P/7r/8/8 b - - 2 43,9.41186127220062e-07
239,6k1/7p/2p3p1/2K1B1PP/1P1P1P2/8/7r/8 b - - 2 43,0.0
240,6k1/7p/2p3p1/2K2P2/1P2P3/8/7r/8 b - - 2 43,0.0
241,6k1/7p/2p4p/2K1B3/4PP1P/7r/8/8 b - - 2 43,1.2743456478525153e-06
242,6k1/p7/2p4p/2K1BPP1/4P2P/7r/8/8 b - - 2 43,8.695485137515342e-05
243,5k2/7p/2p3p1/1P2BP2/2K1PP1P/7r/8/8 b - - 2 43,8.296279590063646e-06
244,6k1/p6p/2p4p/2K1BPP1/1P2P2P/7r/8/8 b - - 2 43,2.9584575675001993e-06
245,8/p5k1/8/2K1B1P1/1P2P3/7r/8/8 b - - 2 43,0.0
246,8/p5kp/2p3p1/2K3P1/1P3P1P/7r/8/8 b - - 2 43,0.09630514386465415
247,6k1/p5pp/2p5/2K1B3/1P2PPPP/7r/8/8 b - - 2 43,1.2008427484697857e-05
248,6k1/p6p/2p5/2K1BP2/1P2PP1P/7r/8/8 b - - 2 43,0.00015301068333778623
249,6k1/8/2p3p1/2K1B1P1/4P2P/5P1r/8/8 b - - 2 43,0.0
250,7k/1p5p/2p3p1/2K1B3/1P2PPPP/8/8/8 b - - 2 43,0.0
251,5k2/8/2p3p1/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,0.006431578121688957
252,6k1/7p/2p3p1/2K1B1P1/1P2PP1P/7r/8/8 b - - 2 43,0.0007682377018171543
253,6k1/p6p/2p3p1/2K1B3/1P2PP1P/7r/8/8 b - - 2 43,9.41186127220062e-07
254,6k1/p5p1/2p3p1/2K1B1P1/5P2/7r/8/8 b - - 2 43,1.3634027969970503e-07
255,8/p5kp/2p2p2/2K3P1/1P2P2P/8/8/8 b - - 2 43,0.0
256,7k/7p/2p3p1/2K1B1P1/P3PP2/7r/8/8 b - - 2 43,0.0
257,6k1/p6p/8/2K1B3/1P2P2P/8/7r/8 b - - 2 43,0.0
258,6k1/7p/2p3p1/2KB1PP1/1P2P3/7r/8/8 b - - 2 43,0.0
259,6k1/p6p/2K3p1/4B1P1/4P1PP/7r/8/8 b - - 2 43,1.0703532070455354e-07
260,6k1/p6p/2p3p1/2K1B3/1P2P1PP/7r/8/8 b - - 2 43,2.1146901199162707e-07
261,6k1/7p/2p3p1/4B1P1/1PK1PP1P/8/8/8 b - - 2 43,0.0
262,6k1/8/2p3p1/2K1B1P1/1P3P1P/4P3/8/8 b - - 2 43,0.0
263,6k1/p1p5/4B1p1/2K3P1/4PP1P/8/8/8 b - - 2 43,0.0
264,6k1/p6p/2p3p1/2K1BP2/1P2PP1P/7r/8/8 b - - 2 43,2.0743124783491224e-06
265,6k1/p6p/2p3p1/2K5/1P2PP1P/7r/8/8 b - - 2 43,0.06607617329607916
266,6k1/p6p/6p1/2K3P1/1P2P2P/7r/8/8 b - - 2 43,0.07716245553989212
267,6k1/8/2p4p/2K1B1P1/1P2PP1P/8/7r/8 b - - 2 43,0.0
268,6k1/7p/6p1/3KB1PP/1P2P3/7r/8/8 b - - 2 43,0.00011159393387168151
269,6k1/p6p/2p3p1/2K2P2/1P2PP1P/7r/8/8 b - - 2 43,0.0638718342170301
270,5k2/p7/2p3p1/2K2PP1/1P2B2P/7r/8/8 b - - 2 43,0.11095015119985263
271,6k1/1p5p/2p3p1/2K1B2P/1P2PP2/7P/8/8 b - - 2 43,0.0
272,5k2/p6p/6p1/2K1B1P1/2P1PP1P/7r/8/8 b - - 2 43,3.917282339889812e-05
273,6k1/7p/2p5/4BP2/1PK4P/4P2r/8/8 b - - 2 43,0.0
274,6k1/p6p/2p5/2K2BP1/P4P1P/7r/8/8 b - - 2 43,0.03775815740815936
